No,㎡単価,交通,価格,取引態様,取引状況,商号,坪単価,専有面積,建物名,所在地,所在階,沿線駅,物件番号,物件種目,用途地域,管理費,築年月,間取,電話番号
,120.1万円,徒歩　5分,"13,480万円",売主,-,（株）Ｔｗｉｎ　Ｃｏｍｐａｎｙ,396.9万円,112.30㎡,カルム赤坂　掲載可,東京都港区赤坂９丁目,5階,千代田線　乃木坂,100136208631,中古マンション,二住,"41,330円",1976年（昭和51年） 6月,2ＬＤＫ,08035542836
,608.5万円,徒歩　4分,"48,800万円",代理,-,麒麟（株）　池袋本部,"2,011.5万円",80.20㎡,ジオグランデ白金台,東京都港区白金台３丁目,15階,南北線　白金台,100136497761,新築マンション,商業,"25,810円",2025年（令和 7年） 7月,2ＬＤＫ,08044783988
,212.2万円,徒歩　12分,"15,990万円",専任,公開中,三井不動産リアルティ（株）三井のリハウス芝浦センター,701.5万円,75.36㎡,芝浦アイランドケープタワー,東京都港区芝浦４丁目,22階,山手線　田町,100134235161,中古マンション,二住,"18,310円",2006年（平成18年）10月,2ＬＤＫ,03-5419-9931
,332.7万円,徒歩　14分,"33,500万円",売主,-,（株）ジェクトワン,"1,099.6万円",100.72㎡,ワールドシティタワーズキャピタルタワー,東京都港区港南４丁目,40階,山手線　品川,100136482440,中古マンション,二住,"24,478円",2006年（平成18年）10月,2ＬＤＫ,03-6427-9830
,922.4万円,徒歩　3分,"130,000万円",専任,公開中,インベストメントプロパティコンサルタンツ（株）,"3,049.2万円",140.94㎡,パークコート青山ザタワー（ハイルーフＰ付／プレミアムフロア）,東京都港区南青山２丁目,21階,銀座線　青山一丁目,100136441800,中古マンション,商業,"110,070円",2017年（平成29年）12月,2ＬＤＫ,0367125925
,237.9万円,徒歩　5分,"42,000万円",売主,-,（株）ジェクトワン,786.3万円,176.58㎡,白金ハウス,東京都港区白金２丁目,2階,南北線　白金台,100136498515,中古マンション,一中,"121,320円",1991年（平成 3年） 3月,2ＬＤＫ,03-6427-9830
,576.2万円,徒歩　2分,"99,800万円",代理,-,合豊（株）,"1,904.8万円",173.21㎡,東京ツインパークスレフトウィング,東京都港区東新橋１丁目,46階,大江戸線　汐留,100136442780,中古マンション,商業,"64,120円",2002年（平成14年） 9月,2ＬＤＫ,03-3520-9233
,684.6万円,徒歩　3分,"79,000万円",一般,-,三井不動産リアルティ（株）三井のリハウス神宮外苑前センター,"2,262.9万円",115.41㎡,パークコート青山ザタワー,東京都港区南青山２丁目,18階,銀座線　青山一丁目,100131500174,中古マンション,商業,"90,140円",2017年（平成29年）12月,2ＬＤＫ,03-5771-7131
,277.3万円,徒歩　13分,"29,000万円",一般,-,みずほ不動産販売（株）　本店営業部,916.6万円,104.60㎡,芝浦アイランドケープタワー,東京都港区芝浦４丁目,39階,山手線　田町,100135994401,中古マンション,二住,"25,420円",2006年（平成18年）10月,2ＬＤＫ,03-5200-1611
,450.2万円,徒歩　3分,"36,900万円",専任 オーナーチェンジ,公開中,三井不動産リアルティ（株）三井のリアルプラン白金高輪サロン,"1,488.0万円",81.98㎡,白金ザ・スカイ　東棟,東京都港区白金１丁目,5階,南北線　白金高輪,100136472153,中古マンション,商業,"31,676円",2023年（令和 5年） 2月,2ＬＤＫ,03-5424-4131
,813.3万円,徒歩　5分,"71,800万円",専任,公開中,ＧＯＬＤＥＮ　ＬＡＮＤ（株）,"2,688.4万円",88.29㎡,三田ガーデンヒルズ　ウエストヒル,東京都港区三田１丁目,1階,南北線　麻布十番,100136472017,新築マンション,二住,"76,020円",2025年（令和 7年） 4月,2ＬＤＫ,09093426156
,574.9万円,徒歩　4分,"42,800万円",専任,公開中,ＧＰＴインベストメント（株）,"1,900.5万円",74.45㎡,アトラス麻布十番,東京都港区三田１丁目,12階,南北線　麻布十番,100136468921,新築マンション,二住,"37,860円",2025年（令和 7年） 9月,2ＬＤＫ,080971904271
,487.7万円,徒歩　5分,"37,000万円",一般,-,三井不動産リアルティ（株）三井のリアルプラン麻布サロン,"1,612.2万円",75.87㎡,ザ・パークハウス白金二丁目タワー,東京都港区白金２丁目,19階,南北線　白金台,100135263771,中古マンション,商業,"30,350円",2018年（平成30年） 7月,2ＬＤＫ,03-5789-3131
,539.7万円,徒歩　5分,"58,000万円",一般,-,シックストゥリーズ合同会社,"1,784.0万円",107.48㎡,ＳＡＩＯＮ　ＳＡＫＵＲＡＺＡＫＡ,東京都港区赤坂１丁目,14階,南北線　六本木一丁目,100136434253,中古マンション,二住,"73,090円",2009年（平成21年）11月,2ＬＤＫ,09022228117
,758.6万円,徒歩　7分,"55,000万円",専任,公開中,（株）フルーク,"2,507.5万円",72.51㎡,三田ガーデンヒルズ　イーストヒル　ＥＡＳＴ　ＨＩＬＬ,東京都港区三田１丁目,12階,南北線　麻布十番,100136445649,新築マンション,二住,"61,270円",2024年（令和 6年）12月,2ＬＤＫ,090-9969-5714
,674.3万円,徒歩　4分,"50,880万円",専任,公開中,山彦建設（株）,"2,229.0万円",75.46㎡,パークコート虎ノ門,東京都港区虎ノ門４丁目,,日比谷線　神谷町,100133824420,中古マンション,商業,"46,030円",2021年（令和 3年）11月,2ＬＤＫ,03-3975-4188
,539.7万円,徒歩　2分,"58,000万円",一般,-,ブラックシップ・リアルティ（株）,"1,784.0万円",107.48㎡,ＳＡＩＯＮ　ＳＡＫＵＲＡＺＡＫＡ,東京都港区赤坂１丁目,,銀座線　溜池山王,100134454759,中古マンション,二住,"73,090円",2009年（平成21年）11月,2ＬＤＫ,03-5447-8700
,561.2万円,徒歩　5分,"39,800万円",専任,公開中,コスモス不動産管理（株）,"1,855.2万円",70.92㎡,ザ・パークハウス白金二丁目タワー,東京都港区白金２丁目,22階,南北線　白金台,100136433805,中古マンション,一中,"28,370円",2018年（平成30年） 7月,2ＬＤＫ,03-6447-2103
,251.8万円,徒歩　7分,"20,000万円",専属,公開中,（株）大京穴吹不動産　麻布レジデンスサロン,832.3万円,79.44㎡,エルラフィナ白金,東京都港区白金３丁目,8階,南北線　白金高輪,100136410479,中古マンション,準工,"23,800円",2003年（平成15年）11月,2ＬＤＫ,03-6324-1287
,340.7万円,徒歩　1分,"24,800万円",専任,公開中,三井不動産リアルティ（株）三井のリアルプラン白金高輪サロン,"1,126.2万円",72.80㎡,白金タワー　タワー棟,東京都港区白金１丁目,18階,南北線　白金高輪,100134101017,中古マンション,商業,"15,200円",2005年（平成17年） 9月,2ＬＤＫ,03-5424-4131
,165.7万円,徒歩　5分,"14,800万円",一般,-,みずほ不動産販売（株）　渋谷営業第二部,547.7万円,89.33㎡,ゼファー芝公園,東京都港区芝２丁目,8階,都営三田線　芝公園,100135454517,中古マンション,商業,"27,400円",2000年（平成12年）10月,2ＬＤＫ,03-3486-4005
,487.7万円,徒歩　5分,"37,000万円",一般,-,三菱地所ハウスネット（株）　麻布営業所,"1,612.2万円",75.87㎡,ザ・パークハウス白金二丁目タワー,東京都港区白金２丁目,19階,南北線　白金台,100135291772,中古マンション,商業,"30,350円",2018年（平成30年） 7月,2ＬＤＫ,03-6453-9085
,586.3万円,徒歩　8分,"68,800万円",一般 オーナーチェンジ,-,ＫＷＴ　ＩＮＶＥＳＴＭＥＮＴＳ（株）,"1,938.2万円",117.35㎡,ザ・ウエストミンスター六本木,東京都港区六本木６丁目,5階,日比谷線　六本木,100136410181,中古マンション,二住,"61,730円",2003年（平成15年） 7月,2ＬＤＫ,03-6384-5500
,237.5万円,徒歩　15分,"19,100万円",一般,-,東急リバブル（株）　品川センター,784.9万円,80.45㎡,ワールドシティタワーズキャピタルタワー,東京都港区港南４丁目,29階,山手線　品川,100136197919,中古マンション,二住,"19,778円",2006年（平成18年）10月,2ＬＤＫ,03-6455-1301
,223.4万円,徒歩　2分,"16,500万円",一般 オーナーチェンジ,-,（株）ブロードブレインズ,738.4万円,73.87㎡,ＴＨＥ　ＴＯＷＥＲＳ　ＤＡＩＢＡ,東京都港区台場２丁目,10階,ゆりかもめ　お台場海浜公園,100136048964,中古マンション,商業,確認中,2006年（平成18年） 5月,2ＬＤＫ,090-1611-9638
,"1,048.5万円",徒歩　7分,"134,000万円",一般,-,三井不動産リアルティ（株）三井のリアルプラン麻布十番サロン,"3,465.9万円",127.81㎡,三田ガーデンヒルズ　パークマンション,東京都港区三田１丁目,8階,大江戸線　赤羽橋,100136197879,中古マンション,二住,"184,690円",2024年（令和 6年）12月,2ＳＬＤＫ,03-5545-3231
,451.4万円,徒歩　6分,"40,800万円",専任,公開中,（株）ケン・コーポレーション　渋谷代官山支店,"1,492.0万円",90.40㎡,ザ・パークハウス白金二丁目タワー,東京都港区白金２丁目,12階,都営三田線　白金台,100135267783,中古マンション,商業,"39,240円",2018年（平成30年） 7月,2ＬＤＫ,03-5720-8160
,214.5万円,徒歩　10分,"15,500万円",専任,公開中,みずほ不動産販売（株）　五反田センター,709.0万円,72.28㎡,ＴＯＫＹＯ　ＳＥＡ　ＳＯＵＴＨ　ブランファーレ,東京都港区港南４丁目,27階,東京モノレ　天王洲アイル,100135290292,中古マンション,二住,"15,400円",2004年（平成16年） 6月,2ＬＤＫ,03-5759-6875
,846.9万円,徒歩　3分,"99,000万円",専任,公開中,プラザホームズ（株）,"2,799.4万円",116.91㎡,ブランズ六本木　ザ・レジデンス,東京都港区六本木４丁目,1階,大江戸線　六本木,100136365577,中古マンション,二中,"76,900円",2019年（平成31年） 1月,2ＬＤＫ,080-3576-3898
,237.6万円,徒歩　9分,"18,480万円",専任,公開中,三井不動産リアルティ（株）三井のリハウス芝浦センター,785.2万円,77.81㎡,パークタワー芝浦ベイワードオーシャンウイング,東京都港区芝浦２丁目,21階,山手線　田町,100134962358,中古マンション,準工,"24,670円",2005年（平成17年） 5月,2ＳＬＤＫ,03-5419-9931
,574.8万円,徒歩　5分,"57,700万円",一般,-,東急リバブル（株）　グランタクト六本木,"1,900.1万円",100.39㎡,ザ・パークハウス白金二丁目タワー,東京都港区白金２丁目,23階,南北線　白金台,100136346647,中古マンション,商業,"40,160円",2018年（平成30年） 7月,2ＬＤＫ,03-6843-1090
,733.2万円,徒歩　2分,"59,300万円",一般,-,東急リバブル（株）　三田センター,"2,423.8万円",80.88㎡,ワールドタワーレジデンス,東京都港区浜松町２丁目,33階,山手線　浜松町,100135146928,中古マンション,商業,"59,350円",2024年（令和 6年）11月,2ＬＤＫ,03-6436-4109
,277.3万円,徒歩　13分,"29,000万円",一般,-,（株）ＹＡＫ,916.6万円,104.60㎡,芝浦アイランドゲープタワー,東京都港区芝浦４丁目,39階,山手線　田町,100136245894,中古マンション,二住,"25,420円",2006年（平成18年）10月,2ＬＤＫ,08036011606
,386.3万円,徒歩　5分,"39,800万円",専属,公開中,三井不動産リアルティ（株）三井のリアルプラン白金高輪サロン,"1,277.1万円",103.03㎡,ウェリス高輪,東京都港区高輪１丁目,11階,南北線　白金高輪,100136261219,中古マンション,一住,"43,890円",2010年（平成22年） 7月,2ＬＤＫ,03-5424-4131
,372.0万円,徒歩　1分,"34,800万円",専属,公開中,（株）大京穴吹不動産　麻布レジデンスサロン,"1,229.5万円",93.57㎡,白金タワー,東京都港区白金１丁目,16階,南北線　白金高輪,100136335925,中古マンション,商業,"19,600円",2005年（平成17年） 9月,2ＬＤＫ,03-6324-1287
,261.0万円,徒歩　12分,"27,300万円",一般,-,（株）ＰＬＡＴＰＯＲＴ,862.8万円,104.60㎡,芝浦アイランドケープタワー,東京都港区芝浦４丁目,44階,山手線　田町,100135156752,中古マンション,二住,"25,420円",2006年（平成18年）10月,2ＬＤＫ,09061167194
,586.3万円,徒歩　7分,"68,800万円",一般 オーナーチェンジ,-,ハウジング・ジャパン（株）,"1,938.2万円",117.35㎡,ザ・ウェストミンスター六本木,東京都港区六本木６丁目,5階,大江戸線　麻布十番,100136326007,中古マンション,二住,"61,730円",2003年（平成15年） 6月,2ＬＤＫ,08090217766
,528.0万円,徒歩　7分,"49,800万円",一般,-,リストインターナショナルリアルティ（株）　東京オフィス,"1,745.5万円",94.32㎡,プレミスト南青山,東京都港区南青山６丁目,1階,銀座線　表参道,100135350544,中古マンション,二中,"38,700円",2014年（平成26年） 3月,2ＬＤＫ,080-8779-6189
,302.3万円,徒歩　8分,"29,800万円",専任,公開中,三井不動産リアルティ（株）三井のリハウス品川センター,999.4万円,98.58㎡,芝浦アイランドグローヴタワー,東京都港区芝浦４丁目,9階,山手線　田町,100135983922,中古マンション,二住,"26,910円",2006年（平成18年）11月,2ＬＤＫ,03-5793-3131
,715.9万円,徒歩　3分,"73,800万円",売主,-,大和ハウス工業（株）　東京本店,"2,366.4万円",103.10㎡,白金ザ・スカイ,東京都港区白金１丁目,45階,南北線　白金高輪,100136226896,中古マンション,準工,"39,837円",2023年（令和 5年） 2月,2ＬＤＫ,03-5214-2046
,241.8万円,徒歩　10分,"16,970万円",一般,-,三井住友トラスト不動産（株）　渋谷センター,799.2万円,70.20㎡,ファインレジデンス三田,東京都港区三田５丁目,1階,南北線　白金高輪,100136220501,中古マンション,準工,"14,040円",2012年（平成24年） 2月,2ＳＬＤＫ,03-6419-4050
,596.8万円,徒歩　5分,"52,000万円",専任 オーナーチェンジ,公開中,ＭＩＸ　ＪＡＰＡＮ（株）,"1,972.7万円",87.14㎡,グランドヒルズ元麻布,東京都港区元麻布３丁目,4階,南北線　麻布十番,100136200081,中古マンション,一中,"61,927円",2018年（平成30年） 1月,2ＬＤＫ,03-6264-2933
,792.0万円,徒歩　2分,"79,800万円",売主,-,小田急不動産（株）　本社営業センター,"2,618.2万円",100.76㎡,ＷＯＲＬＤ　ＴＯＷＥＲ　ＲＥＳＩＤＥＮＣＥ,東京都港区浜松町２丁目,30階,山手線　浜松町,100136195333,中古マンション,商業,"73,940円",2024年（令和 6年）11月,2ＬＤＫ,03-6276-0917
,"1,098.4万円",徒歩　3分,"83,000万円",一般,-,（株）プラスアール,"3,630.9万円",75.57㎡,パークコート赤坂檜町ザタワー,東京都港区赤坂９丁目,32階,千代田線　乃木坂,100135110694,中古マンション,二中,"29,460円",2018年（平成30年） 2月,2ＬＤＫ,09024427470
,651.2万円,徒歩　6分,"79,800万円",一般,-,三井不動産リアルティ（株）三井のリアルプラン麻布サロン,"2,152.7万円",122.55㎡,ザ・パークハウス西麻布レジデンス,東京都港区西麻布４丁目,23階,日比谷線　広尾,100136153923,中古マンション,近商,"58,460円",2014年（平成26年） 5月,2ＬＤＫ,03-5789-3131
,702.1万円,徒歩　7分,"49,800万円",一般,-,三井不動産リアルティ（株）三井のリアルプラン麻布十番サロン,"2,320.7万円",70.94㎡,三田ガーデンヒルズ　ノースヒル,東京都港区三田１丁目,9階,南北線　麻布十番,100136015947,中古マンション,二住,"65,480円",2024年（令和 6年）12月,2ＬＤＫ,03-5545-3231
,375.0万円,徒歩　6分,"30,000万円",専任,公開中,三井不動産リアルティ（株）三井のリハウス品川センター,"1,239.7万円",80.00㎡,品川Ｖタワー　タワー棟,東京都港区港南２丁目,32階,山手線　品川,100132515723,中古マンション,商業,"26,200円",2003年（平成15年） 3月,2ＬＤＫ,03-5793-3131
,486.2万円,徒歩　3分,"38,000万円",一般,-,Ｂａｒｎｅｙ’ｓ　Ｃａｐｉｔａｌ合同会社,"1,607.1万円",78.17㎡,ロイヤルシーズン六本木,東京都港区六本木３丁目,6階,南北線　六本木一丁目,100136105434,中古マンション,商業,"35,969円",2025年（令和 7年） 5月,2ＬＤＫ,070-4469-0645
,864.4万円,徒歩　7分,"70,000万円",専任,公開中,三井不動産リアルティ（株）三井のリアルプラン麻布サロン,"2,857.2万円",80.99㎡,三田ガーデンヒルズ　パークマンション,東京都港区三田１丁目,1階,南北線　麻布十番,100134977473,中古マンション,二住,"117,030円",2024年（令和 6年）12月,2ＬＤＫ,03-5789-3131
,876.5万円,徒歩　7分,"87,800万円",専属 オーナーチェンジ,公開中,（株）大京穴吹不動産　渋谷店,"2,897.3万円",100.18㎡,パークマンション三田綱町ザフォレスト,東京都港区三田２丁目,6階,南北線　麻布十番,100134919466,中古マンション,一中,"61,110円",2015年（平成27年）12月,2ＬＤＫ,03-5464-8211
,536.0万円,徒歩　8分,"49,800万円",専属,公開中,アルフォース（株）,"1,771.8万円",92.92㎡,パークコート赤坂ザタワー,東京都港区赤坂４丁目,,千代田線　赤坂,100136013464,中古マンション,二住,"30,110円",2009年（平成21年） 6月,2ＬＤＫ,090-1774-6786
,218.8万円,徒歩　11分,"19,800万円",一般,-,（有）たからが池不動産,723.1万円,90.52㎡,ザ・レジデンス白金スイート,東京都港区白金６丁目,10階,南北線　白金台,300135990219,中古マンション,一中,"197,660円",2008年（平成20年） 1月,2ＬＤＫ,09019582098
,388.1万円,徒歩　6分,"90,000万円",一般,-,（株）長谷工リアルエステート　白金高輪センター,"1,282.9万円",231.92㎡,高輪シティハウス,東京都港区高輪３丁目,15階,都営浅草線　高輪台,100136893812,中古マンション,一中,"47,050円",2000年（平成12年） 6月,5ＳＬＤＫ,03-5421-7702
,340.8万円,徒歩　2分,"28,980万円",専任,公開中,（株）長谷工リアルエステート　白金高輪センター,"1,126.3万円",85.06㎡,プレイス白金ブライトレジデンス,東京都港区白金１丁目,4階,南北線　白金高輪,100137161059,中古マンション,準工,"12,760円",2005年（平成17年） 6月,4ＬＤＫ,03-5421-7702
,241.0万円,徒歩　15分,"19,500万円",専任,公開中,ＳＲＥホールディングス（株）　新宿オフィス,796.7万円,80.92㎡,ワールドシティタワーズアクアタワー,東京都港区港南４丁目,25階,東海道線　品川,100136695027,中古マンション,二住,"16,250円",2005年（平成17年）10月,3ＬＤＫ,03-6274-6515
,651.3万円,徒歩　10分,"99,800万円",売主,-,（株）アンビションＤＸホールディングス,"2,153.0万円",153.24㎡,ドムス南麻布,東京都港区南麻布３丁目,2階,南北線　白金高輪,100136258595,中古マンション,一中,"187,104円",1993年（平成 5年） 2月,3ＬＤＫ,08049043198
,902.6万円,徒歩　8分,"148,000万円",売主,-,（株）アンビションＤＸホールディングス,"2,983.7万円",163.98㎡,麻布霞町パークマンション,東京都港区西麻布４丁目,3階,日比谷線　広尾,100137087915,中古マンション,一中,"62,300円",2000年（平成12年） 3月,3ＬＤＫ,070-1458-2887
,842.7万円,徒歩　5分,"85,000万円",専任 オーナーチェンジ,公開中,東急リバブル（株）　グランタクト六本木,"2,785.7万円",100.87㎡,三田ガーデンヒルズ　イーストヒル,東京都港区三田１丁目,8階,南北線　麻布十番,100137139712,中古マンション,二住,"85,240円",2024年（令和 6年）12月,3ＬＤＫ,03-6843-1090
,806.8万円,徒歩　5分,"70,000万円",一般,-,東急リバブル（株）　グランタクト六本木,"2,666.9万円",86.77㎡,三田ガーデンヒルズ　ウエストヒル,東京都港区三田１丁目,3階,南北線　麻布十番,100137128161,中古マンション,二住,"74,710円",2024年（令和 6年）12月,3ＬＤＫ,03-6843-1090
,287.1万円,徒歩　8分,"25,800万円",専属,公開中,東急リバブル（株）　渋谷センター,949.1万円,89.87㎡,キャピタルマークタワー,東京都港区芝浦４丁目,42階,山手線　田町,100137168224,中古マンション,準工,"24,000円",2007年（平成19年）10月,3ＬＤＫ,03-3463-3911
,715.8万円,徒歩　5分,"58,500万円",一般,-,東急リバブル（株）　グランタクト六本木,"2,366.2万円",81.73㎡,三田ガーデンヒルズ　イーストヒル,東京都港区三田１丁目,8階,南北線　麻布十番,100134612024,中古マンション,二住,"69,060円",2024年（令和 6年）12月,3ＬＤＫ,03-6843-1090
,723.8万円,徒歩　5分,"73,000万円",一般,-,東急リバブル（株）　グランタクト六本木,"2,392.5万円",100.87㎡,三田ガーデンヒルズ　イーストヒル,東京都港区三田１丁目,4階,南北線　麻布十番,100134612023,中古マンション,二住,"85,240円",2024年（令和 6年）12月,3ＬＤＫ,03-6843-1090
,526.9万円,徒歩　5分,"45,500万円",一般,-,住友不動産ステップ（株）　麻布マンションプラザ１課,"1,741.7万円",86.36㎡,三田ガーデンヒルズ,東京都港区三田１丁目,2階,南北線　麻布十番,100137070775,中古マンション,二住,"72,970円",2025年（令和 7年） 3月,3ＬＤＫ,050-3112-9827
,446.8万円,徒歩　6分,"38,200万円",一般,-,野村不動産ソリューションズ（株）　三田センター,"1,476.8万円",85.51㎡,ザ・レジデンス三田,東京都港区三田２丁目,7階,大江戸線　赤羽橋,100134680227,中古マンション,一住,"38,480円",2014年（平成26年）11月,3ＬＤＫ,03-5765-2236
,461.6万円,徒歩　10分,"39,980万円",専任,公開中,三井不動産リアルティ（株）三井のリハウス勝どきミッドセンター,"1,525.9万円",86.62㎡,グランドメゾン白金の杜ザ・タワー,東京都港区白金６丁目,13階,南北線　白金台,100137170933,中古マンション,一住,"27,000円",2015年（平成27年） 5月,3ＬＤＫ,03-5548-5331
,328.0万円,徒歩　2分,"25,000万円",売主,-,木下商事（株）,"1,084.2万円",76.23㎡,,東京都港区虎ノ門３丁目,5階,日比谷線　神谷町,300137170828,中古マンション,商業,"41,000円",2021年（令和 3年） 2月,3ＬＤＫ,072-275-9250
,429.9万円,徒歩　8分,"35,880万円",売主,-,ＳＲＥホールディングス（株）　新宿オフィス,"1,421.1万円",83.47㎡,ジオ南青山,東京都港区南青山４丁目,3階,銀座線　表参道,100137169939,中古マンション,二中,"38,230円",2017年（平成29年） 8月,3ＬＤＫ,03-6274-6515
,136.7万円,徒歩　10分,"12,000万円",売主,-,（株）ジャパンプライムムーバ,451.9万円,87.80㎡,セントラル三田,東京都港区三田２丁目,4階,大江戸線　麻布十番,100137052675,中古マンション,一中,"10,000円",1978年（昭和53年）11月,3ＬＤＫ,03-6809-5481
,330.0万円,,"24,800万円",専任,申込あり,三菱地所ハウスネット（株）　麻布営業所,"1,090.7万円",75.17㎡,,東京都港区白金６丁目,,公共交通機関なし,100136212541,中古マンション,一中,確認中,2013年（平成25年）10月,3ＬＤＫ,03-6453-9085
,395.1万円,徒歩　10分,"32,800万円",専任,公開中,明和地所（株）　明和地所の仲介　池袋店,"1,306.0万円",83.03㎡,グランドメゾン白金の杜ザ・タワー,東京都港区白金６丁目,20階,南北線　白金台,100135078926,中古マンション,一住,"25,900円",2015年（平成27年） 5月,3ＬＤＫ,03-6914-1281
,679.5万円,徒歩　3分,"126,000万円",一般,-,東急リバブル（株）　グランタクト六本木,"2,246.2万円",185.44㎡,ＳＡＩＯＮ　ＳＡＫＵＲＡＺＡＫＡ,東京都港区赤坂１丁目,11階,銀座線　溜池山王,100136112576,中古マンション,二住,"126,100円",2009年（平成21年）11月,4ＬＤＫ,03-6843-1090
,231.0万円,徒歩　11分,"16,980万円",一般,-,東急リバブル（株）　品川センター,763.4万円,73.53㎡,パークホームズ品川ザレジデンス,東京都港区港南２丁目,11階,山手線　品川,100136922096,中古マンション,商業,"17,500円",2014年（平成26年） 8月,3ＬＤＫ,03-6455-1301
,264.7万円,徒歩　7分,"21,800万円",専属 オーナーチェンジ,公開中,東急リバブル（株）　グランタクト六本木,875.0万円,82.37㎡,高輪ザ・レジデンス,東京都港区高輪１丁目,5階,都営浅草線　高輪台,100137168248,中古マンション,商業,"27,400円",2005年（平成17年）10月,3ＬＤＫ,03-6843-1090
,377.0万円,徒歩　5分,"42,500万円",一般,-,レジデントファースト（株）　仲介営業部仲介営業課,"1,246.2万円",112.74㎡,クラッシィハウス高輪　案内可能,東京都港区高輪１丁目,3階,南北線　白金高輪,100137109295,中古マンション,一住,"42,020円",2007年（平成19年） 8月,3ＬＤＫ,08058739343
,413.5万円,徒歩　9分,"105,000万円",一般,-,（株）シェアカンパニー,"1,366.7万円",253.98㎡,三田綱町パークマンション,東京都港区三田２丁目,18階,南北線　麻布十番,100136450491,中古マンション,一中,"110,000円",1971年（昭和46年） 4月,6ＬＤＫ,03-6447-5433
,284.0万円,徒歩　1分,"23,000万円",一般 オーナーチェンジ,-,マジュニア（株）　広尾不動産,938.6万円,81.01㎡,ローレルタワールネ浜松町,東京都港区海岸２丁目,13階,ゆりかもめ　日の出,100134147526,中古マンション,準工,"32,500円",2020年（令和 2年） 1月,3ＬＤＫ,08022130623
,240.9万円,徒歩　14分,"21,980万円",売主,-,グローバルベイス（株）,796.2万円,91.26㎡,パークタワー品川ベイワード,東京都港区港南３丁目,15階,山手線　品川,100137120908,中古マンション,準工,"26,190円",2005年（平成17年）11月,3ＬＤＫ,08070967155
,286.1万円,徒歩　14分,"27,000万円",専任 オーナーチェンジ,公開中,住友不動産ステップ（株）　渋谷マンションプラザ,945.7万円,94.39㎡,ワールドシティタワーズ,東京都港区港南４丁目,36階,山手線　品川,100136972590,中古マンション,二住,"22,978円",2006年（平成18年）10月,4ＬＤＫ,050-3112-9793
,338.7万円,徒歩　7分,"88,700万円",一般,-,（株）Ｊ・Ｐ・Ｅ,"1,119.5万円",261.94㎡,高輪ザ・レジデンス,東京都港区高輪１丁目,44階,都営浅草線　高輪台,100136321596,中古マンション,商業,"86,800円",2005年（平成17年）10月,3ＬＤＫ,080-3258-8042
,485.4万円,徒歩　4分,"34,800万円",一般,-,野村不動産ソリューションズ（株）　渋谷営業部,"1,604.5万円",71.70㎡,ザ・パークハウス赤坂レジデンス,東京都港区赤坂６丁目,13階,千代田線　赤坂,100137163480,中古マンション,二住,"23,310円",2014年（平成26年） 1月,3ＬＤＫ,03-5766-2814
,307.9万円,徒歩　5分,"36,980万円",売主,-,三菱地所レジデンス（株）　リノベーション事業部,"1,017.8万円",120.11㎡,ワールドシティタワーズキャピタルタワー,東京都港区港南４丁目,,東京モノレ　天王洲アイル,100136969735,中古マンション,二住,"23,420円",2006年（平成18年）10月,3ＬＤＫ,03-6281-8111
,262.5万円,徒歩　5分,"19,900万円",専任,公開中,三井不動産リアルティ（株）三井のリアルプラン白金高輪サロン,867.8万円,75.81㎡,パークホームズ白金高輪アーバンレジデンス,東京都港区三田５丁目,3階,南北線　白金高輪,100136959279,中古マンション,準工,"24,030円",2005年（平成17年） 3月,3ＬＤＫ,03-5424-4131
,364.8万円,徒歩　4分,"28,500万円",一般,-,三井不動産リアルティ（株）三井のリアルプラン麻布サロン,"1,205.8万円",78.14㎡,ロイヤルシーズン六本木,東京都港区六本木３丁目,5階,南北線　六本木一丁目,100137140719,中古マンション,商業,"35,950円",2025年（令和 7年） 5月,3ＬＤＫ,03-5789-3131
,551.5万円,徒歩　4分,"70,000万円",一般 オーナーチェンジ,-,Ｕｎｉｖｅｒｓａｌ　Ｐａｃｉｆｉｃ　Ｒｅａｌｔｙ（株）,"1,823.1万円",126.93㎡,ザ・パークハウスグラン南青山,東京都港区南青山５丁目,3階,銀座線　表参道,100137161576,中古マンション,二中,"83,520円",2016年（平成28年） 8月,3ＬＤＫ,090-8792-4493
,446.8万円,徒歩　6分,"38,200万円",一般,-,住友不動産ステップ（株）　麻布マンションプラザ１課,"1,476.8万円",85.51㎡,ザ・レジデンス三田,東京都港区三田２丁目,7階,大江戸線　赤羽橋,100134841677,中古マンション,一住,"29,900円",2014年（平成26年）11月,3ＬＤＫ,050-3112-9827
,463.5万円,徒歩　6分,"39,800万円",売主,-,（株）ＴＯＹＯ　ＨＯＭＥＳ,"1,532.3万円",85.87㎡,ザ・パークハウス西麻布レジデンス,東京都港区西麻布４丁目,21階,日比谷線　広尾,100137160449,中古マンション,近商,"40,960円",2014年（平成26年） 5月,3ＬＤＫ,090-6006-2888
,377.0万円,徒歩　5分,"42,500万円",一般,-,野村不動産ソリューションズ（株）　麻布営業部,"1,246.2万円",112.74㎡,クラッシィハウス高輪,東京都港区高輪１丁目,3階,南北線　白金高輪,100137149928,中古マンション,一住,"42,020円",2007年（平成19年） 8月,3ＬＤＫ,03-5444-2281
,270.3万円,徒歩　7分,"20,900万円",専任,公開中,東急リバブル（株）　麻布センター,893.3万円,77.35㎡,エルラフィナ白金,東京都港区白金３丁目,7階,南北線　白金高輪,100135843514,中古マンション,準工,"23,200円",2003年（平成15年）11月,3ＬＤＫ,03-5765-6962
