No,物件番号,物件種目,専有面積,所在地,取引態様,価格,用途地域,㎡単価,建物名,所在階,間取,取引状況,管理費,坪単価,沿線駅,交通,商号,築年月,電話番号
,100137067795,中古マンション,16.37㎡,東京都新宿区歌舞伎町２丁目,売主 オーナーチェンジ,"1,550万円",商業,94.7万円,歌舞伎町ダイヤモンドパレス,6階,ワンルーム,-,"11,000円",313.1万円,大江戸線　東新宿,徒歩　5分,（株）三信,1981年（昭和56年） 7月,03-6907-1313
,100137067792,中古マンション,20.34㎡,東京都新宿区西新宿４丁目,売主 オーナーチェンジ,"1,790万円",商業,88.1万円,ライオンズマンション西新宿第５,1階,ワンルーム,-,"8,750円",291.0万円,大江戸線　西新宿五丁目,徒歩　5分,（株）三信,1981年（昭和56年） 8月,03-6907-1313
,100137067745,中古マンション,16.24㎡,東京都新宿区四谷４丁目,売主 オーナーチェンジ,"1,650万円",商業,101.7万円,ロジマン御苑,4階,ワンルーム,-,"4,940円",335.9万円,丸ノ内線　新宿御苑前,徒歩　3分,（株）三信,1979年（昭和54年）11月,03-6907-1313
,100136930501,中古マンション,22.68㎡,東京都新宿区大久保１丁目,売主 オーナーチェンジ,"1,850万円",商業,81.6万円,新宿フラワーハイホーム,2階,ワンルーム,-,"7,440円",269.7万円,山手線　新大久保,徒歩　8分,（株）三信,1979年（昭和54年）10月,03-6907-1313
,100136930490,中古マンション,14.50㎡,東京都新宿区高田馬場１丁目,売主 オーナーチェンジ,"1,550万円",商業,106.9万円,グランメール高田馬場,5階,ワンルーム,-,"8,270円",353.4万円,山手線　高田馬場,徒歩　3分,（株）三信,1977年（昭和52年） 9月,03-6907-1313
,100137067340,中古マンション,25.65㎡,東京都新宿区中井２丁目,一般 オーナーチェンジ,"2,900万円",一中,113.1万円,メインステージ新宿中井,4階,1Ｋ,-,"9,600円",373.8万円,西武新宿線　中井,徒歩　6分,スターツピタットハウス（株）　中野店,2017年（平成29年） 4月,050-1720-4427
,100136466658,中古マンション,25.51㎡,東京都新宿区北新宿３丁目,専任 オーナーチェンジ,"4,100万円",一中,160.8万円,ＲＥＬＵＸＩＡ北新宿,4階,1Ｋ,公開中,"5,460円",531.4万円,総武中央線　東中野,徒歩　5分,住友不動産ステップ（株）　本社営業センター１課,2020年（令和 2年）11月,050-3112-9914
,100134763918,中古マンション,16.26㎡,東京都新宿区西落合１丁目,専任 オーナーチェンジ,900万円,一住,55.4万円,エヴェナール西落合,2階,1Ｋ,公開中,"10,200円",183.0万円,大江戸線　落合南長崎,徒歩　9分,野村不動産ソリューションズ（株）　高田馬場センター,1991年（平成 3年）12月,03-5348-5691
,100137065249,中古マンション,16.20㎡,東京都新宿区歌舞伎町２丁目,一般 オーナーチェンジ,"1,690万円",商業,104.4万円,ライオンズプラザ新宿,5階,ワンルーム,-,"11,890円",344.9万円,丸ノ内線　新宿三丁目,徒歩　4分,三井不動産リアルティ（株）三井のリハウス新宿センター,1983年（昭和58年） 7月,03-5339-2131
,100136338823,中古マンション,19.80㎡,東京都新宿区北山伏町,専任 オーナーチェンジ,"2,730万円",一住,137.9万円,フィース神楽坂,1階,1Ｋ,公開中,"4,700円",455.8万円,大江戸線　牛込神楽坂,徒歩　4分,（株）ランドネット横浜支店,2010年（平成22年） 1月,045-313-9011
,100137062774,中古マンション,25.20㎡,東京都新宿区富久町,専属,"1,900万円",商業,75.4万円,四谷コーエイマンション,4階,ワンルーム,公開中,"7,300円",249.3万円,都営新宿線　曙橋,徒歩　5分,東急リバブル（株）　新宿センター,1972年（昭和47年） 6月,03-6876-0109
,100137062721,中古マンション,16.16㎡,東京都新宿区高田馬場３丁目,専属 オーナーチェンジ,"1,650万円",一住,102.2万円,スカイコート高田馬場,1階,ワンルーム,公開中,"6,100円",337.6万円,西武新宿線　下落合,徒歩　3分,東急リバブル（株）　高田馬場センター,1996年（平成 8年） 1月,03-5291-1029
,100136126211,中古マンション,26.01㎡,東京都新宿区北新宿３丁目,専任 オーナーチェンジ,"3,600万円",近商,138.5万円,ビバリーホームズ北新宿,2階,1ＤＫ,公開中,"6,972円",457.6万円,総武中央線　大久保,徒歩　7分,住友不動産ステップ（株）　本社営業センター２課,2010年（平成22年） 7月,050-3112-9915
,100134037416,中古マンション,14.56㎡,東京都新宿区上落合１丁目,専任,970万円,一住,66.7万円,メゾン・ド・シャルム,1階,ワンルーム,公開中,"4,810円",220.3万円,大江戸線　中井,徒歩　9分,大誠（有）,1980年（昭和55年）10月,03-6908-7886
,100136931835,中古マンション,18.09㎡,東京都新宿区西新宿４丁目,売主 オーナーチェンジ,"1,690万円",商業,93.5万円,マルブン西新宿,4階,ワンルーム,-,"7,400円",308.9万円,大江戸線　西新宿五丁目,徒歩　4分,（株）オネスティーパートナーズ,1985年（昭和60年） 5月,080-4165-7061
,100134463482,中古マンション,20.25㎡,東京都新宿区矢来町,専任 オーナーチェンジ,"2,870万円",商業,141.8万円,ルーブル神楽坂弐番館,3階,1Ｋ,申込あり,"8,000円",468.6万円,東西線　神楽坂,徒歩　2分,三井住友トラスト不動産（株）　吉祥寺センター,2004年（平成16年） 7月,0422-20-2101
,100137055915,中古マンション,14.54㎡,東京都新宿区市谷砂土原町３丁目,専任 オーナーチェンジ,"1,350万円",一中,92.9万円,トップ市ヶ谷,4階,ワンルーム,公開中,"6,000円",307.0万円,有楽町線　市ケ谷,徒歩　10分,（株）ＫＡＴＯエンジニアリングサービス,1985年（昭和60年） 1月,042-785-4112
,100135945250,中古マンション,19.92㎡,東京都新宿区下落合４丁目,一般 オーナーチェンジ,"1,820万円",一低,91.4万円,ヴェルト新宿落合,4階,1Ｋ,-,"9,960円",302.1万円,西武新宿線　下落合,徒歩　6分,（株）明光アセットデザイン,2003年（平成15年） 9月,03-3440-7203
,100137053348,中古マンション,21.28㎡,東京都新宿区西新宿７丁目,売主,"1,280万円",商業,60.2万円,セードル新宿ハイツ,5階,1Ｋ,-,"7,450円",198.9万円,山手線　新宿,徒歩　8分,（株）ランドネット横浜支店,1978年（昭和53年） 7月,045-313-9034
,100135199313,中古マンション,24.05㎡,東京都新宿区西新宿４丁目,専属 オーナーチェンジ,"1,898万円",二中,79.0万円,西新宿コーポビアネーズ,3階,1Ｋ,公開中,"10,000円",260.9万円,大江戸線　西新宿五丁目,徒歩　3分,（株）ワイキャピタルエージェンシー,1976年（昭和51年） 4月,09015584593
,100135693755,中古マンション,22.59㎡,東京都新宿区早稲田町,一般 オーナーチェンジ,"2,480万円",近商,109.8万円,オリオ早稲田,,1Ｋ,-,"9,100円",363.0万円,東西線　早稲田,徒歩　1分,（株）ＳＫＴ,2003年（平成15年） 9月,03-6403-9344
,100135693693,中古マンション,24.70㎡,東京都新宿区市谷本村町,一般 オーナーチェンジ,"2,650万円",商業,107.3万円,メゾン・ド・ヴィレ市ヶ谷,,1Ｋ,-,確認中,354.7万円,総武中央線　市ケ谷,徒歩　5分,（株）ＳＫＴ,2000年（平成12年） 1月,03-6403-9344
,100136569091,中古マンション,16.50㎡,東京都新宿区西落合１丁目,専属 オーナーチェンジ,980万円,準工,59.4万円,日興パレス新宿パート３,,ワンルーム,公開中,"9,560円",196.4万円,大江戸線　落合南長崎,徒歩　5分,（株）ＳＫＴ,1988年（昭和63年） 6月,03-6403-9344
,100136791628,中古マンション,21.97㎡,東京都新宿区北新宿１丁目,専属 オーナーチェンジ,"3,670万円",商業,167.1万円,ダイナシティ西新宿,12階,ワンルーム,公開中,"7,250円",552.3万円,丸ノ内線　西新宿,徒歩　7分,東急リバブル（株）　新宿センター,2008年（平成20年） 8月,03-6876-0109
,100137050622,中古マンション,22.74㎡,東京都新宿区北新宿２丁目,売主 オーナーチェンジ,"1,480万円",一住,65.1万円,プレール中野坂上,1階,1Ｋ,-,"10,680円",215.2万円,丸ノ内線　西新宿,徒歩　6分,（株）嘉徳アセットメント,1989年（平成 1年） 6月,03-6666-9910
,100137023349,中古マンション,25.68㎡,東京都新宿区新宿５丁目,専任 オーナーチェンジ,"3,550万円",商業,138.3万円,クレイシア新宿パークコンフォート,5階,1Ｋ,公開中,"7,020円",457.0万円,丸ノ内線　新宿御苑前,徒歩　7分,（株）大京穴吹不動産　新宿店,2014年（平成26年） 9月,03-5909-7501
,100136266254,中古マンション,27.47㎡,東京都新宿区大京町,専任 オーナーチェンジ,"2,880万円",一中,104.9万円,ルート四谷三丁目,1階,ワンルーム,公開中,"6,800円",346.6万円,丸ノ内線　四谷三丁目,徒歩　7分,住友不動産ステップ（株）　本社営業センター１課,1999年（平成11年） 3月,050-3112-9914
,100136799079,中古マンション,26.98㎡,東京都新宿区四谷４丁目,専任 オーナーチェンジ,"2,400万円",商業,89.0万円,ロイヤルハイツ新宿御苑,4階,1ＤＫ,申込あり,"8,960円",294.1万円,丸ノ内線　新宿御苑前,徒歩　6分,住友不動産ステップ（株）　大宮営業センター,1984年（昭和59年） 9月,050-3112-8291
,100137044044,中古マンション,21.75㎡,東京都新宿区百人町２丁目,専属 オーナーチェンジ,"2,630万円",近商,121.0万円,プレ－ル・ドウ－ク新大久保,6階,1Ｋ,公開中,"6,960円",399.8万円,山手線　新大久保,徒歩　3分,（株）ライトスペース,2009年（平成21年） 3月,08064207206
,100137042072,中古マンション,20.74㎡,東京都新宿区西新宿８丁目,専任,"2,780万円",商業,134.1万円,ナビウス西新宿,3階,1Ｋ,公開中,"6,900円",443.2万円,丸ノ内線　西新宿,徒歩　4分,旭化成不動産レジデンス（株）　不動産流通本部　首都圏営業部　城西営業課,2003年（平成15年） 9月,03-6890-2621
,100137041427,中古マンション,25.65㎡,東京都新宿区中井２丁目,一般 オーナーチェンジ,"2,900万円",一中,113.1万円,メインステージ新宿中井,4階,1Ｋ,-,"9,600円",373.8万円,西武新宿線　中井,徒歩　6分,住友不動産ステップ（株）　池袋営業センター１課,2017年（平成29年） 3月,050-3112-9799
,100137041330,中古マンション,18.19㎡,東京都新宿区戸山１丁目,代理 オーナーチェンジ,"1,680万円",一中,92.4万円,ジョイフル早稲田,3階,1Ｋ,-,"5,000円",305.4万円,東西線　早稲田,徒歩　4分,（株）エステート・ワン,1984年（昭和59年） 8月,03-5826-4777
,100136861532,中古マンション,22.80㎡,東京都新宿区新宿１丁目,一般,"2,266万円",商業,99.4万円,ライオンズマンション新宿東公園,9階,1Ｋ,-,"7,980円",328.6万円,丸ノ内線　新宿御苑前,徒歩　6分,ポラリス・ハウジング（株）,1983年（昭和58年） 6月,070-9237-2599
,100137040978,中古マンション,12.94㎡,東京都新宿区西新宿５丁目,一般,"1,400万円",二住,108.2万円,西新宿第２ローヤルコーポ,1階,ワンルーム,-,確認中,357.7万円,大江戸線　西新宿五丁目,徒歩　6分,ＳＵＰＥＲ　ＣＩＴＹ（株）,1985年（昭和60年） 3月,03-6280-3062
,100137040971,中古マンション,23.93㎡,東京都新宿区若松町,専任,"3,480万円",近商,145.5万円,ドルチェ東新宿,11階,1Ｋ,公開中,"9,381円",480.8万円,大江戸線　若松河田,徒歩　4分,オークラヤ住宅（株）　新宿支社　営業第一部,2007年（平成19年） 7月,03-6368-4960
,100137040886,中古マンション,29.75㎡,東京都新宿区北新宿１丁目,売主,"3,480万円",近商,117.0万円,ルックハイツ北新宿壱番館,6階,1ＤＫ,-,"8,510円",386.7万円,総武中央線　大久保,徒歩　6分,京王ユナイテッド（株）,1983年（昭和58年） 1月,080-3415-4552
,100129713657,中古マンション,23.13㎡,東京都新宿区高田馬場３丁目,専属 オーナーチェンジ,"2,380万円",一住,102.9万円,プレール高田馬場,3階,1Ｋ,公開中,"10,290円",340.2万円,東西線　落合,徒歩　9分,東急リバブル（株）　投資マンション推進課,2003年（平成15年） 3月,03-3463-6147
,100137038969,中古マンション,21.70㎡,東京都新宿区新小川町,売主 オーナーチェンジ,"2,550万円",準工,117.6万円,ルーブル神楽坂参番館,4階,1Ｋ,-,"8,000円",388.5万円,総武中央線　飯田橋,徒歩　6分,（株）パートナーズ,2006年（平成18年） 2月,080-4466-5823
,100136514233,中古マンション,21.19㎡,東京都新宿区新小川町,専任 オーナーチェンジ,"2,820万円",準工,133.1万円,パレステュディオ飯田橋,9階,1Ｋ,公開中,"7,530円",440.0万円,総武中央線　飯田橋,徒歩　7分,（株）シー・エフ・ネッツ　東京本社,2002年（平成14年） 4月,07038727740
,100136969023,中古マンション,21.98㎡,東京都新宿区市谷薬王寺町,専任 オーナーチェンジ,"1,820万円",商業,82.9万円,ライオンズマンション市谷薬王寺,7階,1Ｋ,公開中,確認中,273.8万円,都営新宿線　曙橋,徒歩　6分,（株）シー・エフ・ネッツ　東京本社,1985年（昭和60年）11月,07038727740
,100136945255,中古マンション,15.18㎡,東京都新宿区歌舞伎町２丁目,代理 オーナーチェンジ,"1,550万円",商業,102.2万円,歌舞伎町ダイアモンドパレス,8階,ワンルーム,-,"8,300円",337.6万円,山手線　新宿,徒歩　7分,ｅ－ｌｉｆｅ（株）,1981年（昭和56年） 7月,09096242233
,100137035963,中古マンション,15.84㎡,東京都新宿区百人町１丁目,売主 オーナーチェンジ,"1,280万円",一住,80.9万円,サンライズ新宿,3階,1Ｋ,-,"5,230円",267.2万円,山手線　新大久保,徒歩　5分,（株）ランドネット,1979年（昭和54年） 5月,03-3986-7228
,300137037509,中古マンション,29.60㎡,東京都新宿区新宿１丁目,売主,"2,180万円",商業,73.7万円,パレ・ドール新宿,6階,1ＬＤＫ,-,"12,500円",243.5万円,丸ノ内線　新宿御苑前,徒歩　5分,（株）ランドネット　大阪支店,1982年（昭和57年） 2月,06-6359-2180
,100137036535,中古マンション,25.62㎡,東京都新宿区西新宿４丁目,専任 オーナーチェンジ,"4,290万円",二中,167.5万円,ラグジュアリーアパートメント西新宿,2階,1Ｋ,公開中,確認中,553.6万円,大江戸線　西新宿五丁目,徒歩　4分,（株）フレックスヴァリエーション,2004年（平成16年） 6月,03-6382-8027
,100137035968,中古マンション,18.74㎡,東京都新宿区住吉町,売主 オーナーチェンジ,"1,450万円",商業,77.4万円,ローゼンハイム,2階,ワンルーム,-,"6,750円",255.8万円,丸ノ内線　四谷三丁目,徒歩　9分,（株）ランドネット横浜支店,1979年（昭和54年） 3月,045-313-9018
,100135452521,中古マンション,21.14㎡,東京都新宿区下落合４丁目,専属 オーナーチェンジ,"2,260万円",商業,107.0万円,シンシア目白,2階,1Ｋ,公開中,"11,900円",353.5万円,西武池袋線　椎名町,徒歩　6分,（株）アーベスト,2001年（平成13年） 2月,044-280-6933
,100136662867,中古マンション,12.74㎡,東京都新宿区西新宿３丁目,一般,"1,850万円",商業,145.3万円,西新宿ダイヤモンドパレス,10階,ワンルーム,-,"5,910円",480.1万円,大江戸線　都庁前,徒歩　6分,（株）サミットソサエティ,1981年（昭和56年） 3月,0334018269
,100137034888,中古マンション,20.88㎡,東京都新宿区西新宿４丁目,一般,770万円,商業,36.9万円,西新宿カーネル,3階,1Ｋ,-,"27,600円",122.0万円,大江戸線　西新宿五丁目,徒歩　5分,（株）ＲＥＩＣ　横浜支店,1976年（昭和51年） 6月,045-264-4820
,100114033560,中古マンション,29.14㎡,東京都新宿区新宿２丁目,専任 オーナーチェンジ,"2,980万円",商業,102.3万円,ライオンズマンション新宿御苑前第２,,1ＤＫ,公開中,"10,300円",338.1万円,都営新宿線　新宿三丁目,徒歩　3分,（株）未来企画,1982年（昭和57年） 6月,0422-30-5822
,100136223550,中古マンション,27.90㎡,東京都新宿区新宿５丁目,売主,"3,480万円",商業,124.8万円,藤和新宿番衆町コープ,7階,ワンルーム,-,"12,190円",412.4万円,丸ノ内線　新宿御苑前,徒歩　7分,（株）アイオス,1983年（昭和58年） 7月,03-5318-9100
,100135952968,中古マンション,14.54㎡,東京都新宿区舟町,一般 オーナーチェンジ,"1,100万円",商業,75.7万円,グレイス四谷,4階,ワンルーム,-,"6,370円",250.1万円,都営新宿線　曙橋,徒歩　2分,アサヒプロパティ（株）,1984年（昭和59年）12月,03-5810-2886
,100136833062,中古マンション,16.41㎡,東京都新宿区北新宿４丁目,専任 オーナーチェンジ,"1,700万円",一住,103.6万円,スカイコート新宿第７,5階,ワンルーム,公開中,"7,200円",342.5万円,総武中央線　東中野,徒歩　6分,ｉたてもの（株）,1996年（平成 8年） 4月,03-6721-6737
,100136257676,中古マンション,25.55㎡,東京都新宿区百人町１丁目,専任 オーナーチェンジ,"3,980万円",商業,155.8万円,ＡＲＴＥＳＳＩＭＯ　ＡＬＤＯ,5階,1Ｋ,公開中,"7,300円",515.0万円,総武中央線　大久保,徒歩　4分,（株）大京穴吹不動産　新宿店,2014年（平成26年） 6月,03-5909-7501
,100136415165,中古マンション,25.59㎡,東京都新宿区下落合２丁目,専任 オーナーチェンジ,"3,500万円",準工,136.8万円,メイクスデザイン高田馬場,4階,1Ｋ,公開中,"7,600円",452.2万円,東西線　高田馬場,徒歩　6分,（株）ブランデスト,2013年（平成25年） 2月,090-9272-7015
,100137025042,中古マンション,20.31㎡,東京都新宿区若松町,専属 オーナーチェンジ,"2,390万円",商業,117.7万円,エクセリア早稲田Ⅱ,10階,1Ｋ,公開中,"6,500円",389.1万円,大江戸線　若松河田,徒歩　3分,（株）サークフルエステート,2000年（平成12年） 7月,0354347231
,100136151394,中古マンション,25.56㎡,東京都新宿区荒木町,一般 オーナーチェンジ,"3,555万円",商業,139.1万円,ＡＸＡＳ四谷三丁目,6階,1Ｋ,-,"16,650円",459.8万円,丸ノ内線　四谷三丁目,徒歩　3分,ＢＲ　ＴＲＵＳＴＹ（株）,2012年（平成24年） 6月,0357909700
,100136851887,中古マンション,14.28㎡,東京都新宿区西落合１丁目,売主,940万円,近商,65.9万円,ソアール哲学堂,2階,1Ｋ,-,"5,070円",217.7万円,大江戸線　落合南長崎,徒歩　9分,（株）城南キャピタル,1983年（昭和58年）10月,08056704366
,300136901285,中古マンション,17.24㎡,東京都新宿区中井１丁目,代理,"1,330万円",一住,77.2万円,ワコーレ中井,2階,ワンルーム,-,"11,450円",255.1万円,西武新宿線　中井,徒歩　5分,（株）アンドラフ,1988年（昭和63年） 6月,070-9316-6698
,100136534884,中古マンション,12.74㎡,東京都新宿区西新宿３丁目,一般,"1,850万円",商業,145.3万円,西新宿ダイヤモンドパレス,10階,ワンルーム,-,"5,910円",480.1万円,大江戸線　都庁前,徒歩　7分,（株）モントン,1981年（昭和56年） 3月,03-6272-9630
,100137022520,中古マンション,22.68㎡,東京都新宿区大久保１丁目,専属 オーナーチェンジ,"1,950万円",商業,86.0万円,新宿フラワーハイホーム,4階,ワンルーム,公開中,"6,600円",284.3万円,大江戸線　東新宿,徒歩　3分,（株）ＢＩＧ不動産,1979年（昭和54年）10月,03-6205-6120
,100137022516,中古マンション,20.95㎡,東京都新宿区大久保１丁目,専属 オーナーチェンジ,"1,850万円",商業,88.4万円,新宿フラワーハイホーム,6階,ワンルーム,公開中,"6,600円",292.0万円,大江戸線　東新宿,徒歩　3分,（株）ＢＩＧ不動産,1979年（昭和54年）10月,03-6205-6120
,100136012734,中古マンション,20.25㎡,東京都新宿区喜久井町,専属 オーナーチェンジ,"2,480万円",一中,122.5万円,ルーブル早稲田,3階,1Ｋ,公開中,"8,500円",404.9万円,東西線　早稲田,徒歩　8分,麒麟㈱,2006年（平成18年） 9月,09066570411
,100137017248,中古マンション,19.47㎡,東京都新宿区北新宿４丁目,専任,"2,280万円",定めなし,117.2万円,エヴェナール東中野,5階,1Ｋ,公開中,"7,800円",387.2万円,総武中央線　東中野,徒歩　5分,（株）ラクサス,1995年（平成 7年） 5月,03-6450-3027
,100137021245,中古マンション,24.64㎡,東京都新宿区西新宿４丁目,専任 オーナーチェンジ,"2,650万円",商業,107.6万円,アーバイル西新宿,2階,1Ｋ,公開中,"10,790円",355.6万円,大江戸線　西新宿五丁目,徒歩　2分,（株）アップスタイル,2005年（平成17年） 7月,03-5818-7868
,100135637523,中古マンション,19.97㎡,東京都新宿区四谷４丁目,代理 オーナーチェンジ,"1,500万円",商業,75.2万円,御苑ハイム,6階,ワンルーム,-,"6,380円",248.4万円,丸ノ内線　新宿御苑前,徒歩　7分,（株）ライオンハウス,1979年（昭和54年） 2月,08039346499
,100137019453,中古マンション,20.31㎡,東京都新宿区四谷三栄町,一般 オーナーチェンジ,"2,850万円",一住,140.4万円,キャッスルステージ四谷,4階,1Ｋ,-,"9,749円",463.9万円,総武中央線　四ツ谷,徒歩　5分,Ｊ．Ｐ．Ｒｅｔｕｒｎｓ（株）,2007年（平成19年）12月,03-5962-9450
,100136119461,中古マンション,29.00㎡,東京都新宿区北新宿３丁目,一般 オーナーチェンジ,"4,200万円",商業,144.9万円,レグノ・セレーノ,7階,ワンルーム,-,確認中,478.8万円,総武中央線　大久保,徒歩　3分,大和プライムワン（株）,2008年（平成20年） 4月,0362573921
,100136800476,中古マンション,11.91㎡,東京都新宿区上落合１丁目,売主 オーナーチェンジ,890万円,一住,74.8万円,メゾン・ド・シェリュバン,3階,ワンルーム,-,"4,000円",247.1万円,東西線　落合,徒歩　4分,麒麟（株）　池袋本部,1979年（昭和54年） 5月,090-8512-8678
,100136800606,中古マンション,12.82㎡,東京都新宿区上落合１丁目,売主 オーナーチェンジ,840万円,一住,65.6万円,メゾン・ド・シェリュバン,4階,ワンルーム,-,"4,000円",216.7万円,東西線　落合,徒歩　4分,麒麟（株）　池袋本部,1979年（昭和54年） 5月,090-8512-8678
,100137018895,中古マンション,17.06㎡,東京都新宿区西落合２丁目,専属,"1,100万円",定めなし,64.5万円,ライオンズマンション哲学堂,1階,1Ｋ,公開中,"16,020円",213.2万円,大江戸線　落合南長崎,徒歩　8分,ライフクエスト（株）,1992年（平成 4年） 9月,090-9310-3216
,100133488839,中古マンション,25.92㎡,東京都新宿区市谷薬王寺町,専属 オーナーチェンジ,"2,480万円",一中,95.7万円,スカイコート市ヶ谷,1階,1ＤＫ,公開中,"6,330円",316.3万円,大江戸線　牛込柳町,徒歩　4分,東急リバブル（株）　投資マンション推進課,1984年（昭和59年） 3月,03-3463-6147
,300137017319,中古マンション,14.54㎡,東京都新宿区市谷砂土原町３丁目,売主 オーナーチェンジ,"1,480万円",一中,101.8万円,ＴＯＰ市ケ谷ＮＯ１,4階,ワンルーム,-,"8,000円",336.5万円,総武中央線　市ケ谷,徒歩　6分,（株）ランドネット　大阪支店,1985年（昭和60年） 1月,070-8680-4181
,100136609078,中古マンション,14.73㎡,東京都新宿区中落合１丁目,一般 オーナーチェンジ,"1,100万円",準工,74.7万円,日神パレス下落合,2階,ワンルーム,-,"10,700円",246.9万円,西武新宿線　下落合,徒歩　3分,（株）グッドウィル,1987年（昭和62年） 6月,03-5459-5530
,100137011408,中古マンション,23.93㎡,東京都新宿区新宿１丁目,専任 オーナーチェンジ,"2,380万円",一低,99.5万円,藤和ハイタウン新宿,,ワンルーム,公開中,"7,150円",328.8万円,丸ノ内線　新宿御苑前,徒歩　5分,グロワークス（株）,1984年（昭和59年） 7月,09054497187
,100137011403,中古マンション,20.79㎡,東京都新宿区高田馬場１丁目,専属,"2,480万円",商業,119.3万円,高田馬場ダイカンプラザ,5階,ワンルーム,公開中,"5,600円",394.4万円,山手線　高田馬場,徒歩　3分,朝日住宅（株）　西新宿店,1979年（昭和54年）10月,07090065703
,100137010455,中古マンション,15.05㎡,東京都新宿区西早稲田１丁目,専任 オーナーチェンジ,"1,300万円",定めなし,86.4万円,メゾンド早稲田,2階,1Ｋ,公開中,"6,000円",285.6万円,東西線　早稲田,徒歩　8分,（株）パートナーズ,2007年（平成19年） 1月,050-1809-1615
,100137010132,中古マンション,21.86㎡,東京都新宿区中落合１丁目,一般 オーナーチェンジ,"1,500万円",一中,68.7万円,スカイコート落合２,4階,ワンルーム,-,"6,000円",226.9万円,西武新宿線　下落合,徒歩　6分,アイエステート（株）,1986年（昭和61年） 6月,050-3612-7933
,100136707133,中古マンション,21.93㎡,東京都新宿区新宿５丁目,専属 オーナーチェンジ,"3,200万円",商業,146.0万円,プレサンス新宿御苑アルティメット,12階,1Ｋ,申込あり,"10,700円",482.4万円,丸ノ内線　新宿御苑前,徒歩　6分,（株）ＴＯＣＨＵ,2008年（平成20年）12月,03-5981-9950
,100137009698,中古マンション,22.32㎡,東京都新宿区西新宿７丁目,専任 オーナーチェンジ,"4,680万円",商業,209.7万円,ファーストリアルタワー新宿,6階,1Ｋ,公開中,"9,360円",693.2万円,山手線　新宿,徒歩　9分,南青山リアルエステート（株）,2006年（平成18年） 3月,03-6427-3156
,100136335430,中古マンション,19.17㎡,東京都新宿区新宿４丁目,専属 オーナーチェンジ,"1,090万円",商業,56.9万円,レイフラット新宿,6階,ワンルーム,公開中,"10,600円",188.0万円,山手線　新宿,徒歩　5分,（株）タングラム,1981年（昭和56年） 3月,03-6400-3125
,100136999054,中古マンション,12.52㎡,東京都新宿区高田馬場１丁目,売主 オーナーチェンジ,"1,640万円",商業,131.0万円,グランメール高田馬場,5階,ワンルーム,-,"8,270円",433.1万円,山手線　高田馬場,徒歩　3分,（株）三信,1977年（昭和52年） 9月,03-6907-1313
,100136999067,中古マンション,14.50㎡,東京都新宿区高田馬場１丁目,売主 オーナーチェンジ,"1,550万円",商業,106.9万円,グランメール高田馬場,8階,ワンルーム,-,"8,270円",353.4万円,山手線　高田馬場,徒歩　3分,（株）三信,1977年（昭和52年） 9月,03-6907-1313
,100136998307,中古マンション,9.46㎡,東京都新宿区百人町２丁目,一般,"1,100万円",一住,116.3万円,トップ・ルーム新宿,1階,ワンルーム,-,"7,500円",384.4万円,総武中央線　大久保,徒歩　4分,（株）フィンスター,1984年（昭和59年） 5月,03-6161-0022
,300136996713,中古マンション,20.06㎡,東京都新宿区大久保２丁目,専任 オーナーチェンジ,"2,480万円",一住,123.7万円,プレールドゥーク東新宿,,1Ｋ,公開中,"8,220円",408.7万円,副都心線　東新宿,徒歩　5分,（株）エステートハウジング,2006年（平成18年）11月,079-506-8770
,100135410816,中古マンション,22.32㎡,東京都新宿区市谷薬王寺町,一般,"1,880万円",商業,84.3万円,ライオンズマンション市谷薬王寺,6階,1Ｋ,-,"10,200円",278.5万円,大江戸線　牛込柳町,徒歩　5分,（株）楽ホームズ,1985年（昭和60年）11月,080-5840-7871
,100132051970,中古マンション,15.82㎡,東京都新宿区下落合１丁目,一般,"1,620万円",工業,102.5万円,ハイシティ高田馬場,,ワンルーム,-,"4,600円",338.6万円,山手線　高田馬場,徒歩　3分,（株）楽ホームズ,1983年（昭和58年）11月,080-5840-7871
,100136994804,中古マンション,9.46㎡,東京都新宿区百人町２丁目,一般,"1,180万円",一住,124.8万円,トップルーム新宿,1階,ワンルーム,-,"7,500円",412.4万円,総武中央線　大久保,徒歩　4分,（株）フューチャーリーディング,1984年（昭和59年） 5月,03-6806-7972
,100136993419,中古マンション,16.25㎡,東京都新宿区西早稲田２丁目,売主 オーナーチェンジ,"1,690万円",一中,104.0万円,早稲田ヒルサイドハイツ,1階,ワンルーム,-,"4,200円",343.9万円,副都心線　西早稲田,徒歩　5分,（株）ランドネット,1982年（昭和57年）10月,03-3986-7280
,100136992942,中古マンション,26.17㎡,東京都新宿区榎町,専属 オーナーチェンジ,"2,600万円",商業,99.4万円,グランドコンシェルジュ神楽坂α,4階,1Ｋ,公開中,"11,100円",328.5万円,東西線　神楽坂,徒歩　7分,（株）明和管財,2015年（平成27年） 1月,03-6450-7755
,100136992070,中古マンション,20.25㎡,東京都新宿区西落合１丁目,専任 オーナーチェンジ,"2,200万円",準工,108.7万円,ルーブル新宿西落合参番館,3階,1Ｋ,公開中,確認中,359.2万円,大江戸線　落合南長崎,徒歩　5分,（株）日本財託,2004年（平成16年） 5月,080-3554-4493
