差分ID,物件番号,差分検出日,更新フィールド,更新前,更新後
20251213_1278,100135213077,2025-12-13,築年月,2025年（令和 7年） 9月,2025年（令和 7年） 9月
20251213_1279,100135219159,2025-12-13,築年月,1982年（昭和57年） 4月,1982年（昭和57年） 4月
20251213_1280,100135219190,2025-12-13,築年月,1999年（平成11年） 8月,1999年（平成11年） 8月
20251213_1281,100135219288,2025-12-13,築年月,2012年（平成24年） 6月,2012年（平成24年） 6月
20251213_1282,100135219356,2025-12-13,築年月,1971年（昭和46年） 4月,1971年（昭和46年） 4月
20251213_1283,100135221476,2025-12-13,築年月,2015年（平成27年） 4月,2015年（平成27年） 4月
20251213_1284,100135221766,2025-12-13,築年月,2023年（令和 5年） 2月,2023年（令和 5年） 2月
20251213_1285,100135222195,2025-12-13,築年月,2023年（令和 5年） 2月,2023年（令和 5年） 2月
20251213_1286,100135224185,2025-12-13,築年月,2004年（平成16年） 1月,2004年（平成16年） 1月
20251213_1287,100135225463,2025-12-13,築年月,1969年（昭和44年） 1月,1969年（昭和44年） 1月
20251213_1288,100135227048,2025-12-13,築年月,1999年（平成11年） 2月,1999年（平成11年） 2月
20251213_1289,100135227889,2025-12-13,築年月,2022年（令和 4年） 9月,2022年（令和 4年） 9月
20251213_1290,100135227954,2025-12-13,築年月,2025年（令和 7年）10月,2025年（令和 7年）10月
20251213_1291,100135227956,2025-12-13,築年月,2025年（令和 7年）10月,2025年（令和 7年）10月
20251213_1292,100135229231,2025-12-13,築年月,2006年（平成18年） 3月,2006年（平成18年） 3月
20251213_1293,100135229232,2025-12-13,築年月,2006年（平成18年） 3月,2006年（平成18年） 3月
20251213_1294,100135231654,2025-12-13,築年月,1987年（昭和62年） 1月,1987年（昭和62年） 1月
20251213_1295,100135233636,2025-12-13,築年月,1974年（昭和49年） 3月,1974年（昭和49年） 3月
20251213_1296,100135235636,2025-12-13,築年月,2023年（令和 5年）11月,2023年（令和 5年）11月
20251213_1297,100135235640,2025-12-13,築年月,2023年（令和 5年）11月,2023年（令和 5年）11月
20251213_1298,100135236350,2025-12-13,築年月,2023年（令和 5年）11月,2023年（令和 5年）11月
20251213_1299,100135240513,2025-12-13,築年月,2014年（平成26年） 9月,2014年（平成26年） 9月
20251213_1300,100135241102,2025-12-13,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251213_1301,100135242385,2025-12-13,築年月,2014年（平成26年） 5月,2014年（平成26年） 5月
20251213_1302,100135246641,2025-12-13,築年月,1976年（昭和51年） 5月,1976年（昭和51年） 5月
20251213_1303,100135247756,2025-12-13,築年月,1997年（平成 9年） 8月,1997年（平成 9年） 8月
20251213_1304,100135247764,2025-12-13,築年月,2017年（平成29年） 2月,2017年（平成29年） 2月
20251213_1305,100135247769,2025-12-13,築年月,2017年（平成29年） 8月,2017年（平成29年） 8月
20251213_1306,100135247810,2025-12-13,築年月,1997年（平成 9年） 6月,1997年（平成 9年） 6月
20251213_1307,100135247878,2025-12-13,築年月,1973年（昭和48年） 9月,1973年（昭和48年） 9月
20251213_1308,100135250715,2025-12-13,築年月,2000年（平成12年） 6月,2000年（平成12年） 6月
20251213_1309,100135250858,2025-12-13,築年月,2024年（令和 6年）11月,2024年（令和 6年）11月
20251213_1310,100135252674,2025-12-13,築年月,2017年（平成29年） 9月,2017年（平成29年） 9月
20251213_1311,100135252726,2025-12-13,築年月,1998年（平成10年） 3月,1998年（平成10年） 3月
20251213_1312,100135256288,2025-12-13,築年月,1990年（平成 2年） 6月,1990年（平成 2年） 6月
20251213_1313,100135256325,2025-12-13,築年月,2002年（平成14年） 4月,2002年（平成14年） 4月
20251213_1314,100135258607,2025-12-13,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251213_1315,100135260145,2025-12-13,築年月,1973年（昭和48年） 5月,1973年（昭和48年） 5月
20251213_1316,100135261366,2025-12-13,築年月,2014年（平成26年） 3月,2014年（平成26年） 3月
20251213_1317,100135263771,2025-12-13,築年月,2018年（平成30年） 7月,2018年（平成30年） 7月
20251213_1318,100135264426,2025-12-13,築年月,2023年（令和 5年） 2月,2023年（令和 5年） 2月
20251213_1319,100135267783,2025-12-13,築年月,2018年（平成30年） 7月,2018年（平成30年） 7月
20251213_1320,100135269144,2025-12-13,築年月,1971年（昭和46年） 3月,1971年（昭和46年） 3月
20251213_1321,100135270398,2025-12-13,築年月,2005年（平成17年） 7月,2005年（平成17年） 7月
20251213_1322,100135270827,2025-12-13,築年月,2025年（令和 7年） 1月,2025年（令和 7年） 1月
20251213_1323,100135272460,2025-12-13,築年月,2012年（平成24年） 4月,2012年（平成24年） 4月
20251213_1324,100135273852,2025-12-13,築年月,2005年（平成17年） 7月,2005年（平成17年） 7月
20251213_1325,100135276342,2025-12-13,築年月,2007年（平成19年） 1月,2007年（平成19年） 1月
20251213_1326,100135282813,2025-12-13,築年月,1980年（昭和55年） 5月,1980年（昭和55年） 5月
20251213_1327,100135283601,2025-12-13,築年月,1981年（昭和56年） 6月,1981年（昭和56年） 6月
20251213_1328,100135283648,2025-12-13,築年月,1979年（昭和54年） 4月,1979年（昭和54年） 4月
20251213_1329,100135286544,2025-12-13,築年月,1974年（昭和49年） 8月,1974年（昭和49年） 8月
20251213_1330,100135289519,2025-12-13,築年月,2000年（平成12年） 6月,2000年（平成12年） 6月
20251213_1331,100135289520,2025-12-13,築年月,2012年（平成24年） 8月,2012年（平成24年） 8月
20251213_1332,100135290292,2025-12-13,築年月,2004年（平成16年） 6月,2004年（平成16年） 6月
20251213_1333,100135291772,2025-12-13,築年月,2018年（平成30年） 7月,2018年（平成30年） 7月
20251213_1334,100135291825,2025-12-13,築年月,2003年（平成15年） 4月,2003年（平成15年） 4月
20251213_1335,100135297910,2025-12-13,築年月,1980年（昭和55年） 6月,1980年（昭和55年） 6月
20251213_1336,100135299146,2025-12-13,築年月,2015年（平成27年） 4月,2015年（平成27年） 4月
20251213_1337,100135300299,2025-12-13,築年月,1987年（昭和62年） 1月,1987年（昭和62年） 1月
20251213_1338,100135305430,2025-12-13,築年月,2009年（平成21年） 3月,2009年（平成21年） 3月
20251213_1339,100135305431,2025-12-13,築年月,2015年（平成27年） 9月,2015年（平成27年） 9月
20251213_1340,100135308667,2025-12-13,築年月,2014年（平成26年） 5月,2014年（平成26年） 5月
20251213_1341,100135310619,2025-12-13,築年月,1999年（平成11年） 1月,1999年（平成11年） 1月
20251213_1342,100135311585,2025-12-13,築年月,2008年（平成20年） 1月,2008年（平成20年） 1月
20251213_1343,100135314043,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_1344,100135314416,2025-12-13,築年月,1978年（昭和53年） 9月,1978年（昭和53年） 9月
20251213_1345,100135315262,2025-12-13,築年月,2005年（平成17年） 6月,2005年（平成17年） 6月
20251213_1346,100135317151,2025-12-13,築年月,2008年（平成20年） 4月,2008年（平成20年） 4月
20251213_1347,100135317404,2025-12-13,築年月,2005年（平成17年） 9月,2005年（平成17年） 9月
20251213_1348,100135317634,2025-12-13,築年月,1970年（昭和45年） 6月,1970年（昭和45年） 6月
20251213_1349,100135319333,2025-12-13,築年月,1978年（昭和53年） 8月,1978年（昭和53年） 8月
20251213_1350,100135319680,2025-12-13,築年月,2024年（令和 6年） 8月,2024年（令和 6年） 8月
20251213_1351,100135325198,2025-12-13,築年月,1975年（昭和50年） 9月,1975年（昭和50年） 9月
20251213_1352,100135325557,2025-12-13,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251213_1353,100135326091,2025-12-13,築年月,2025年（令和 7年）10月,2025年（令和 7年）10月
20251213_1354,100135327344,2025-12-13,築年月,1992年（平成 4年） 9月,1992年（平成 4年） 9月
20251213_1355,100135328289,2025-12-13,築年月,2014年（平成26年） 5月,2014年（平成26年） 5月
20251213_1356,100135328913,2025-12-13,築年月,2017年（平成29年） 8月,2017年（平成29年） 8月
20251213_1357,100135330890,2025-12-13,築年月,2012年（平成24年） 8月,2012年（平成24年） 8月
20251213_1358,100135333145,2025-12-13,築年月,2002年（平成14年） 5月,2002年（平成14年） 5月
20251213_1359,100135333160,2025-12-13,築年月,2003年（平成15年） 2月,2003年（平成15年） 2月
20251213_1360,100135335273,2025-12-13,築年月,2012年（平成24年） 8月,2012年（平成24年） 8月
20251213_1361,100135340230,2025-12-13,築年月,2003年（平成15年） 1月,2003年（平成15年） 1月
20251213_1362,100135340242,2025-12-13,築年月,1978年（昭和53年） 6月,1978年（昭和53年） 6月
20251213_1363,100135340277,2025-12-13,築年月,2023年（令和 5年） 6月,2023年（令和 5年） 6月
20251213_1364,100135341402,2025-12-13,築年月,2019年（平成31年） 1月,2019年（平成31年） 1月
20251213_1365,100135342279,2025-12-13,築年月,1976年（昭和51年） 3月,1976年（昭和51年） 3月
20251213_1366,100135345476,2025-12-13,築年月,1978年（昭和53年） 6月,1978年（昭和53年） 6月
20251213_1367,100135346089,2025-12-13,築年月,1989年（平成 1年）11月,1989年（平成 1年）11月
20251213_1368,100135346238,2025-12-13,築年月,2005年（平成17年） 2月,2005年（平成17年） 2月
20251213_1369,100135349244,2025-12-13,築年月,2015年（平成27年） 9月,2015年（平成27年） 9月
20251213_1370,100135350544,2025-12-13,築年月,2014年（平成26年） 3月,2014年（平成26年） 3月
20251213_1371,100135351132,2025-12-13,築年月,2002年（平成14年） 2月,2002年（平成14年） 2月
20251213_1372,100135351152,2025-12-13,築年月,1980年（昭和55年） 1月,1980年（昭和55年） 1月
20251213_1373,100135352115,2025-12-13,築年月,1972年（昭和47年） 8月,1972年（昭和47年） 8月
20251213_1374,100135352884,2025-12-13,築年月,1981年（昭和56年） 3月,1981年（昭和56年） 3月
20251213_1375,100135353287,2025-12-13,築年月,2008年（平成20年） 4月,2008年（平成20年） 4月
20251213_1376,100135353675,2025-12-13,築年月,2005年（平成17年） 2月,2005年（平成17年） 2月
20251213_1377,100135356337,2025-12-13,築年月,2026年（令和 8年）11月,2026年（令和 8年）11月
20251213_1378,100135358100,2025-12-13,築年月,2008年（平成20年） 1月,2008年（平成20年） 1月
20251213_1379,100135358614,2025-12-13,築年月,2024年（令和 6年） 6月,2024年（令和 6年） 6月
20251213_1380,100135358634,2025-12-13,築年月,1995年（平成 7年） 2月,1995年（平成 7年） 2月
20251213_1381,100135358740,2025-12-13,築年月,2013年（平成25年） 2月,2013年（平成25年） 2月
20251213_1382,100135360516,2025-12-13,築年月,2022年（令和 4年）11月,2022年（令和 4年）11月
20251213_1383,100135367731,2025-12-13,築年月,2011年（平成23年） 9月,2011年（平成23年） 9月
20251213_1384,100135367784,2025-12-13,築年月,2014年（平成26年） 7月,2014年（平成26年） 7月
20251213_1385,100135372388,2025-12-13,築年月,2004年（平成16年） 2月,2004年（平成16年） 2月
20251213_1386,100135373000,2025-12-13,築年月,2023年（令和 5年）11月,2023年（令和 5年）11月
20251213_1387,100135375000,2025-12-13,築年月,2003年（平成15年） 1月,2003年（平成15年） 1月
20251213_1388,100135375013,2025-12-13,築年月,1984年（昭和59年） 7月,1984年（昭和59年） 7月
20251213_1389,100135381079,2025-12-13,取引状況,公開中,申込あり
20251213_1390,100135382983,2025-12-13,築年月,2014年（平成26年） 2月,2014年（平成26年） 2月
20251213_1391,100135386466,2025-12-13,築年月,2023年（令和 5年） 2月,2023年（令和 5年） 2月
20251213_1392,100135389290,2025-12-13,築年月,1981年（昭和56年） 4月,1981年（昭和56年） 4月
20251213_1393,100135389980,2025-12-13,築年月,1970年（昭和45年） 4月,1970年（昭和45年） 4月
20251213_1394,100135393612,2025-12-13,築年月,1979年（昭和54年） 8月,1979年（昭和54年） 8月
20251213_1395,100135397225,2025-12-13,築年月,1986年（昭和61年） 9月,1986年（昭和61年） 9月
20251213_1396,100135397310,2025-12-13,築年月,2020年（令和 2年） 2月,2020年（令和 2年） 2月
20251213_1397,100135399651,2025-12-13,築年月,1986年（昭和61年） 4月,1986年（昭和61年） 4月
20251213_1398,100135399730,2025-12-13,築年月,2012年（平成24年） 5月,2012年（平成24年） 5月
20251213_1399,100135400905,2025-12-13,築年月,2017年（平成29年） 7月,2017年（平成29年） 7月
20251213_1400,100135404948,2025-12-13,築年月,1965年（昭和40年） 3月,1965年（昭和40年） 3月
20251213_1401,100135405676,2025-12-13,築年月,1972年（昭和47年） 8月,1972年（昭和47年） 8月
20251213_1402,100135405774,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_1403,100135405821,2025-12-13,築年月,2019年（平成31年） 3月,2019年（平成31年） 3月
20251213_1404,100135405900,2025-12-13,築年月,1997年（平成 9年）10月,1997年（平成 9年）10月
20251213_1405,100135407155,2025-12-13,築年月,2005年（平成17年） 6月,2005年（平成17年） 6月
20251213_1406,100135407901,2025-12-13,築年月,2004年（平成16年） 9月,2004年（平成16年） 9月
20251213_1407,100135408685,2025-12-13,築年月,1982年（昭和57年） 1月,1982年（昭和57年） 1月
20251213_1408,100135408691,2025-12-13,築年月,2020年（令和 2年）10月,2020年（令和 2年）10月
20251213_1409,100135410934,2025-12-13,築年月,2015年（平成27年） 9月,2015年（平成27年） 9月
20251213_1410,100135411481,2025-12-13,築年月,1982年（昭和57年） 1月,1982年（昭和57年） 1月
20251213_1411,100135411955,2025-12-13,築年月,2021年（令和 3年） 2月,2021年（令和 3年） 2月
